Cliente,CNPJ,Produto,Qtd,Dt Emissao,Data Faturamento
MB DISTRIBUIDORA,06752049000268,015333,60.0,20250220,20250224
W SUL DIST E IMP DE,08111865000137,015333,10.0,20250220,20250221
W. NORDESTE,22101582000135,015333,60.0,20250220,20250224
LM MOTO,70963418000341,015333,10.0,20250220,20250221
LM MOTO,70963418000341,015333,10.0,20250220,20250221
W.CO LOGISTICA EM DU,19246547000108,015333,10.0,20250220,        
W. NORTE,51050054000364,015333,0.0,20250220,        
W.CO LOGISTICA EM DU,19246547000108,015438,10.0,20250219,20250227
W.SP LOGISTICA,11247454000188,015438,20.0,20250220,20250221
W.SP LOGISTICA,11247454000188,014903,2.0,20250109,20250110
MB DISTRIBUIDORA,06752049000268,014903,3.0,20250110,20250114
W SUL DIST E IMP DE,08111865000137,014903,2.0,20250116,20250128
W.CO LOGISTICA EM DU,19246547000108,015129,10.0,20250117,20250127
W SUL DIST E IMP DE,08111865000137,015129,20.0,20250307,20250314
W SUL DIST E IMP DE,08111865000137,015129,10.0,20250117,20250128
W SUL DIST E IMP DE,08111865000137,015129,10.0,20250306,20250307
LM MOTO,70963418000341,015132,10.0,20250117,20250124
W.CO LOGISTICA EM DU,19246547000108,015132,10.0,20250117,20250127
W SUL DIST E IMP DE,08111865000137,015132,10.0,20250117,20250128
W.SP LOGISTICA,11247454000188,015163,15.0,20250107,20250110
W.SP LOGISTICA,11247454000188,015170,15.0,20250107,20250110
W SUL DIST E IMP DE,08111865000137,015170,15.0,20250107,20250116
MB DISTRIBUIDORA,06752049000268,015170,15.0,20250107,20250108
W SUL DIST E IMP DE,08111865000137,015244,10.0,20250307,20250314
W.CO LOGISTICA EM DU,19246547000108,015247,10.0,20250122,20250127
LM MOTO,70963418000341,015273,5.0,20250331,20250402
LM MOTO,70963418000341,016150,80.0,20250312,20250319
MB DISTRIBUIDORA,06752049000268,016150,80.0,20250311,20250314
W. NORDESTE,22101582000135,016160,25.0,20250311,20250312
LM MOTO,70963418000341,016160,150.0,20250312,20250319
W. NORTE,51050054000364,016160,25.0,20250312,20250319
W.CO LOGISTICA EM DU,19246547000108,016160,50.0,20250311,20250318
W SUL DIST E IMP DE,08111865000137,016160,50.0,20250311,20250314
W.SP LOGISTICA,11247454000188,016160,50.0,20250311,20250321
MB DISTRIBUIDORA,06752049000268,016160,50.0,20250311,20250314
W.SP LOGISTICA,11247454000188,016169,25.0,20250312,20250321
W.CO LOGISTICA EM DU,19246547000108,016169,15.0,20250312,20250318
W. NORTE,51050054000364,016169,10.0,20250312,20250319
W. NORTE,51050054000364,016169,100.0,20250331,20250403
MB DISTRIBUIDORA,06752049000268,016169,50.0,20250312,20250314
W SUL DIST E IMP DE,08111865000137,016169,50.0,20250312,20250314
W. NORDESTE,22101582000135,016169,25.0,20250312,20250312
